time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-01 00:00:00+00:00,1153,259,376,61
2025-12-02 00:00:00+00:00,1154,236,505,68
2025-12-03 00:00:00+00:00,2275,437,325,52
2025-12-04 00:00:00+00:00,568,109,718,53
2025-12-05 00:00:00+00:00,775,207,631,53
2025-12-06 00:00:00+00:00,577,108,599,40
2025-12-07 00:00:00+00:00,669,136,509,38
2025-12-08 00:00:00+00:00,470,94,540,75
2025-12-09 00:00:00+00:00,694,129,541,67
2025-12-10 00:00:00+00:00,1127,158,920,58
2025-12-11 00:00:00+00:00,552,112,817,75
2025-12-12 00:00:00+00:00,671,131,404,84
2025-12-13 00:00:00+00:00,312,61,168,28
2025-12-14 00:00:00+00:00,479,114,104,26
2025-12-15 00:00:00+00:00,535,126,605,40
2025-12-16 00:00:00+00:00,385,93,383,37
2025-12-17 00:00:00+00:00,272,75,334,41
2025-12-18 00:00:00+00:00,469,107,571,38
2025-12-19 00:00:00+00:00,429,103,300,27
2025-12-20 00:00:00+00:00,25,12,31,20
2025-12-21 00:00:00+00:00,5,4,19,14
